Hesap No,Müşteri No,Hesap Türü,Bakiye,Bakiye (TL),Bakiye (USD),Bakiye (EUR),Şube Kodu,Hesap Açılış Tarihi,Hesap Durumu
610,310,Vadesiz Mevduat,99284.31,99284.31,6154.01,9947.17,34,2023-08-20,Aktif
611,311,Vadesiz Mevduat,46611.41,46611.41,3858.8,5398.73,2,2024-01-26,Aktif
612,312,Vadesiz Mevduat,89302.73,89302.73,3343.29,8552.76,7,2021-09-02,Aktif
613,312,Vadeli Mevduat,42042.42,42042.42,294.82,732.75,28,2022-11-06,Aktif
614,312,Vadesiz Mevduat,71279.0,71279.0,9027.02,5138.95,10,2022-09-15,Aktif
615,313,Vadeli Mevduat,98502.89,98502.89,14661.8,8147.69,31,2024-10-22,Aktif
616,313,Vadesiz Mevduat,123970.12,123970.12,16254.14,3213.68,16,2022-08-25,Aktif
617,314,Vadesiz Mevduat,7562.12,7562.12,305.94,608.07,29,2021-08-17,Aktif
618,314,Vadesiz Mevduat,67652.4,67652.4,6490.76,4416.7,14,2023-07-28,Aktif
619,314,Vadeli Mevduat,106261.99,106261.99,3015.89,3938.93,24,2021-03-05,Aktif
620,315,Vadesiz Mevduat,61337.99,61337.99,3903.79,3994.03,30,2021-07-31,Aktif
621,316,Vadeli Mevduat,87479.11,87479.11,9621.45,3501.71,8,2022-10-30,Aktif
622,317,Vadeli Mevduat,38027.0,38027.0,3629.45,1159.52,7,2023-07-07,Aktif
623,317,Vadeli Mevduat,128341.87,128341.87,2545.46,5719.27,40,2021-03-17,Aktif
624,318,Vadeli Mevduat,141764.55,141764.55,10449.84,6009.1,25,2021-12-05,Aktif
625,319,Döviz Hesabı,76633.16,76633.16,4856.07,3092.51,20,2022-11-23,Kapalı
626,319,Vadeli Mevduat,34395.33,34395.33,1589.16,3736.52,17,2021-05-02,Aktif
627,319,Vadesiz Mevduat,78713.97,78713.97,1731.61,8546.88,16,2022-02-10,Aktif
628,320,Vadesiz Mevduat,12252.24,12252.24,1637.66,139.05,6,2022-08-29,Aktif
629,320,Vadesiz Mevduat,21070.09,21070.09,3146.72,1754.95,19,2024-03-09,Aktif
630,320,Vadesiz Mevduat,106935.73,106935.73,9313.12,5001.4,35,2024-02-04,Aktif
631,321,Vadeli Mevduat,116276.81,116276.81,5511.48,12485.03,19,2024-09-15,Aktif
632,321,Vadesiz Mevduat,131087.06,131087.06,11168.5,4355.12,31,2021-03-31,Aktif
633,322,Vadesiz Mevduat,42155.91,42155.91,491.35,2414.51,21,2022-06-28,Aktif
634,322,Vadesiz Mevduat,146736.95,146736.95,16277.3,16353.3,34,2021-10-11,Aktif
635,323,Vadesiz Mevduat,146761.57,146761.57,4297.35,15670.37,18,2024-02-22,Aktif
636,323,Vadeli Mevduat,84773.9,84773.9,11764.65,7955.05,15,2024-09-27,Aktif
637,324,Vadesiz Mevduat,77277.85,77277.85,1478.96,8210.37,13,2022-07-04,Kapalı
638,324,Vadeli Mevduat,115104.4,115104.4,6596.65,12132.23,22,2023-09-21,Kapalı
639,325,Vadesiz Mevduat,14198.2,14198.2,1744.66,540.37,28,2023-07-16,Aktif
640,325,Vadesiz Mevduat,81596.52,81596.52,7335.33,3873.15,14,2022-10-05,Aktif
641,325,Vadesiz Mevduat,7826.94,7826.94,250.04,326.84,40,2021-10-13,Aktif
642,326,Vadesiz Mevduat,16670.78,16670.78,1024.38,738.9,22,2023-01-08,Aktif
643,327,Vadesiz Mevduat,9218.22,9218.22,611.59,202.96,25,2021-03-07,Aktif
644,327,Vadesiz Mevduat,147340.66,147340.66,14975.09,1259.01,28,2024-07-15,Aktif
645,327,Vadesiz Mevduat,13745.04,13745.04,761.74,1097.83,35,2021-06-10,Kapalı
646,328,Vadesiz Mevduat,12632.63,12632.63,833.23,1502.92,10,2021-03-10,Aktif
647,329,Vadeli Mevduat,81933.94,81933.94,11446.2,6489.35,7,2023-02-03,Aktif
648,330,Vadesiz Mevduat,27405.43,27405.43,2343.72,887.93,7,2022-08-23,Aktif
649,330,Vadeli Mevduat,127488.82,127488.82,3789.74,7861.36,7,2023-11-28,Aktif
650,330,Vadeli Mevduat,91429.95,91429.95,1728.64,9057.4,28,2021-09-20,Aktif
651,331,Vadesiz Mevduat,1091.53,1091.53,147.94,66.33,20,2022-12-09,Aktif
652,332,Vadeli Mevduat,70375.12,70375.12,3187.6,669.26,23,2022-05-20,Aktif
653,332,Döviz Hesabı,69043.09,69043.09,7633.07,1764.3,8,2023-04-15,Aktif
654,332,Vadesiz Mevduat,90754.12,90754.12,346.7,9035.98,10,2024-08-25,Aktif
655,333,Vadesiz Mevduat,133848.32,133848.32,13566.25,14992.76,4,2021-09-22,Aktif
656,334,Vadesiz Mevduat,127149.69,127149.69,5704.51,14644.43,1,2024-02-12,Aktif
657,334,Vadesiz Mevduat,129315.62,129315.62,11757.11,7501.09,13,2021-05-31,Aktif
658,334,Döviz Hesabı,100648.2,100648.2,10691.9,8285.64,31,2021-01-05,Aktif
659,335,Vadesiz Mevduat,14568.86,14568.86,1013.52,1434.22,35,2022-10-01,Aktif
660,335,Vadeli Mevduat,2081.55,2081.55,124.09,32.13,30,2023-09-20,Aktif
661,336,Vadesiz Mevduat,142368.1,142368.1,13660.22,9214.96,31,2021-07-22,Aktif
662,337,Vadesiz Mevduat,61976.69,61976.69,5784.51,2861.0,14,2022-07-14,Kapalı
663,338,Vadeli Mevduat,95988.91,95988.91,13514.72,3059.91,16,2024-10-04,Aktif
664,339,Vadeli Mevduat,57112.5,57112.5,31.15,4128.25,10,2021-04-26,Aktif
665,339,Vadesiz Mevduat,71178.62,71178.62,3947.28,2124.6,12,2021-12-10,Aktif
666,339,Döviz Hesabı,72059.43,72059.43,7794.36,7388.91,27,2021-06-01,Aktif
667,340,Vadeli Mevduat,20985.04,20985.04,133.07,1623.16,4,2023-12-13,Aktif
668,341,Vadeli Mevduat,139460.63,139460.63,12152.77,12137.88,29,2023-07-22,Aktif
669,341,Vadeli Mevduat,27425.56,27425.56,235.14,540.63,29,2022-08-29,Aktif
670,342,Vadeli Mevduat,32268.14,32268.14,2993.2,1529.94,22,2024-05-25,Aktif
671,343,Vadesiz Mevduat,23400.76,23400.76,3045.96,1136.89,23,2021-05-31,Aktif
672,343,Vadeli Mevduat,4940.58,4940.58,94.06,365.69,17,2023-02-09,Aktif
673,344,Vadesiz Mevduat,36079.49,36079.49,1631.08,1182.63,34,2021-06-29,Aktif
674,344,Vadesiz Mevduat,60597.05,60597.05,4752.64,5990.04,13,2023-02-16,Aktif
675,345,Vadesiz Mevduat,134914.29,134914.29,11575.74,8250.87,37,2023-06-30,Aktif
676,346,Vadesiz Mevduat,65650.55,65650.55,6937.53,2467.5,19,2023-09-23,Aktif
677,346,Vadesiz Mevduat,92800.68,92800.68,4157.72,9601.67,34,2023-11-15,Aktif
678,347,Vadesiz Mevduat,133216.24,133216.24,16020.81,360.59,15,2024-03-21,Aktif
679,347,Vadesiz Mevduat,8619.44,8619.44,1196.36,385.96,28,2024-03-30,Aktif
680,347,Vadesiz Mevduat,97778.37,97778.37,6218.76,3446.1,10,2022-03-27,Aktif
681,348,Vadesiz Mevduat,37081.43,37081.43,2656.74,4265.14,17,2023-10-26,Aktif
682,348,Vadesiz Mevduat,61541.38,61541.38,5253.73,449.56,8,2023-03-02,Aktif
683,348,Vadesiz Mevduat,124114.45,124114.45,15725.1,8259.23,21,2021-11-05,Aktif
684,349,Vadesiz Mevduat,2540.59,2540.59,312.92,171.89,34,2021-07-20,Aktif
685,349,Vadeli Mevduat,103967.13,103967.13,6450.17,3429.87,15,2022-12-15,Aktif
686,349,Vadesiz Mevduat,37945.67,37945.67,2281.29,119.94,9,2024-01-21,Aktif
687,350,Vadeli Mevduat,49748.84,49748.84,3871.65,3545.93,26,2024-10-06,Aktif
688,350,Vadeli Mevduat,29419.85,29419.85,1528.99,1810.69,28,2022-08-03,Aktif
689,350,Vadesiz Mevduat,131879.9,131879.9,2758.41,5935.63,33,2024-04-10,Aktif
690,351,Vadesiz Mevduat,100775.24,100775.24,11428.11,11919.59,26,2023-08-08,Aktif
691,351,Vadesiz Mevduat,36378.81,36378.81,2682.39,3135.42,36,2022-02-11,Aktif
692,351,Vadeli Mevduat,11532.63,11532.63,1571.2,187.6,19,2022-02-16,Aktif
693,352,Vadesiz Mevduat,36530.4,36530.4,1528.56,3290.33,30,2024-09-11,Aktif
694,352,Vadesiz Mevduat,120509.14,120509.14,9949.17,5213.49,9,2023-11-15,Aktif
695,352,Vadeli Mevduat,123427.59,123427.59,9553.51,13458.68,6,2021-03-12,Aktif
696,353,Vadesiz Mevduat,108831.53,108831.53,9783.38,3876.53,26,2022-03-12,Aktif
697,353,Vadesiz Mevduat,85655.64,85655.64,9544.28,9889.13,18,2021-11-07,Aktif
698,354,Vadeli Mevduat,54186.69,54186.69,1590.81,5176.2,22,2024-08-09,Aktif
699,355,Vadesiz Mevduat,54909.32,54909.32,4740.56,2991.59,9,2023-11-24,Kapalı
700,356,Döviz Hesabı,149699.24,149699.24,11845.3,12195.51,21,2022-10-11,Kapalı
701,356,Vadesiz Mevduat,25588.56,25588.56,602.81,686.83,12,2023-05-09,Aktif
702,356,Döviz Hesabı,39629.35,39629.35,2331.0,2260.17,7,2021-01-09,Aktif
703,357,Vadesiz Mevduat,125850.69,125850.69,9913.1,12091.71,6,2022-03-10,Aktif
704,357,Vadeli Mevduat,100236.9,100236.9,5631.47,1747.5,16,2024-02-03,Aktif
705,358,Vadesiz Mevduat,31411.28,31411.28,88.07,2515.66,10,2024-09-08,Aktif
706,358,Vadesiz Mevduat,128737.76,128737.76,6535.81,14593.07,18,2022-06-09,Aktif
707,358,Vadesiz Mevduat,40667.88,40667.88,3644.78,3164.67,23,2022-12-08,Aktif
708,359,Vadesiz Mevduat,22486.2,22486.2,526.78,1327.44,9,2021-05-06,Aktif
709,359,Döviz Hesabı,77329.67,77329.67,1827.57,3861.45,38,2023-01-10,Aktif
710,359,Döviz Hesabı,132499.79,132499.79,2570.34,1082.42,19,2022-09-17,Aktif
711,360,Vadeli Mevduat,141340.96,141340.96,14582.78,8300.68,17,2021-05-22,Kapalı
712,361,Vadeli Mevduat,92022.08,92022.08,6269.55,3263.7,8,2023-05-02,Aktif
713,361,Vadesiz Mevduat,35741.03,35741.03,2169.0,37.63,28,2021-03-19,Aktif
714,362,Vadesiz Mevduat,43251.65,43251.65,3584.8,4608.38,1,2022-01-05,Aktif
715,362,Vadesiz Mevduat,43309.15,43309.15,1206.03,4415.96,13,2023-06-23,Aktif
716,363,Döviz Hesabı,118141.65,118141.65,6935.71,11868.17,37,2022-07-06,Aktif
717,363,Vadesiz Mevduat,87357.32,87357.32,10499.92,3740.12,30,2024-06-17,Kapalı
718,363,Vadeli Mevduat,80619.0,80619.0,10607.33,5454.6,34,2021-02-19,Aktif
719,364,Vadesiz Mevduat,25544.84,25544.84,3214.6,2575.34,12,2022-02-01,Aktif
720,365,Döviz Hesabı,42077.48,42077.48,4412.01,2634.83,30,2022-06-07,Aktif
721,365,Vadesiz Mevduat,72157.15,72157.15,8384.24,5632.41,28,2024-05-02,Aktif
722,366,Döviz Hesabı,55752.58,55752.58,2315.02,6360.45,18,2021-12-04,Kapalı
723,366,Vadesiz Mevduat,82404.21,82404.21,4499.71,6650.46,6,2023-03-03,Kapalı
724,367,Vadeli Mevduat,98058.08,98058.08,7429.09,3582.32,6,2022-03-10,Aktif
725,367,Döviz Hesabı,4234.1,4234.1,172.39,492.14,37,2022-01-09,Aktif
726,368,Vadeli Mevduat,128716.84,128716.84,17482.28,4963.7,29,2021-03-01,Kapalı
727,369,Vadesiz Mevduat,143684.65,143684.65,18187.23,2144.15,14,2023-05-29,Aktif
728,370,Vadesiz Mevduat,96892.86,96892.86,2113.6,7430.13,39,2021-08-31,Aktif
729,370,Vadesiz Mevduat,75193.65,75193.65,717.11,6398.03,40,2024-07-18,Aktif
730,371,Vadesiz Mevduat,63915.56,63915.56,76.26,5441.67,23,2024-02-13,Aktif
731,371,Vadesiz Mevduat,134551.48,134551.48,18626.27,7593.27,7,2024-10-27,Aktif
732,371,Vadeli Mevduat,65123.73,65123.73,8357.94,1406.57,15,2023-07-09,Aktif
733,372,Vadeli Mevduat,111564.49,111564.49,8104.0,1555.35,15,2023-03-01,Aktif
734,372,Vadesiz Mevduat,90344.1,90344.1,4973.7,2046.14,1,2021-02-27,Aktif
735,372,Vadesiz Mevduat,39187.89,39187.89,2017.07,2343.75,13,2023-02-03,Kapalı
736,373,Döviz Hesabı,121009.92,121009.92,473.25,5995.16,21,2021-07-13,Aktif
737,373,Vadesiz Mevduat,48007.85,48007.85,7162.62,2677.58,2,2022-09-04,Aktif
738,373,Vadeli Mevduat,95875.78,95875.78,1786.12,10946.67,33,2022-03-16,Aktif
739,374,Vadesiz Mevduat,49089.62,49089.62,4359.6,46.36,22,2022-02-12,Aktif
740,374,Vadeli Mevduat,27299.25,27299.25,2074.51,2909.03,28,2021-07-22,Aktif
741,375,Vadesiz Mevduat,70627.34,70627.34,6093.35,448.6,28,2022-08-16,Aktif
742,375,Vadeli Mevduat,99403.82,99403.82,6663.46,6592.17,4,2023-06-09,Aktif
743,375,Vadesiz Mevduat,7408.53,7408.53,1094.25,247.32,27,2022-02-24,Aktif
744,376,Vadeli Mevduat,19477.62,19477.62,481.43,2115.23,30,2023-01-06,Kapalı
745,376,Vadeli Mevduat,131763.25,131763.25,18889.48,71.86,38,2021-06-21,Kapalı
746,377,Vadesiz Mevduat,12668.99,12668.99,1231.78,403.92,19,2023-08-24,Aktif
747,377,Döviz Hesabı,16452.77,16452.77,779.94,1966.82,28,2021-09-22,Aktif
748,378,Vadesiz Mevduat,88883.63,88883.63,9638.81,8780.77,3,2024-03-16,Aktif
749,379,Vadesiz Mevduat,90076.68,90076.68,2975.93,9115.15,26,2024-06-24,Kapalı
750,380,Vadeli Mevduat,89642.91,89642.91,12776.6,608.59,15,2024-03-05,Kapalı
751,381,Vadesiz Mevduat,55540.49,55540.49,4932.71,5533.27,27,2023-08-24,Aktif
752,381,Vadesiz Mevduat,69518.92,69518.92,8381.45,8132.86,25,2022-08-20,Aktif
753,382,Vadeli Mevduat,39070.19,39070.19,3703.57,3061.65,30,2022-06-13,Aktif
754,382,Vadesiz Mevduat,143678.62,143678.62,15872.18,12336.51,15,2021-10-18,Aktif
755,382,Vadesiz Mevduat,53375.76,53375.76,3086.61,6137.93,23,2023-03-18,Aktif
756,383,Vadeli Mevduat,116869.64,116869.64,2796.57,13564.15,34,2023-04-23,Aktif
757,383,Vadesiz Mevduat,126103.48,126103.48,17321.84,8151.78,31,2024-02-03,Aktif
758,384,Vadesiz Mevduat,23876.02,23876.02,357.71,1862.11,31,2022-10-27,Aktif
759,384,Vadeli Mevduat,40725.2,40725.2,2716.39,4017.77,37,2021-02-24,Aktif
760,384,Vadesiz Mevduat,41345.47,41345.47,476.95,1235.5,32,2021-08-12,Aktif
761,385,Vadesiz Mevduat,36234.42,36234.42,878.35,16.6,39,2021-03-23,Aktif
762,385,Vadeli Mevduat,7106.12,7106.12,456.1,219.39,22,2024-04-07,Aktif
763,386,Vadeli Mevduat,106812.84,106812.84,3884.43,8140.42,21,2022-10-22,Aktif
764,386,Vadesiz Mevduat,85287.87,85287.87,11904.31,6375.77,9,2023-06-13,Aktif
765,386,Vadeli Mevduat,53432.35,53432.35,3871.49,2043.72,21,2024-05-12,Aktif
766,387,Vadeli Mevduat,122331.64,122331.64,13331.2,9492.74,25,2023-11-14,Aktif
767,387,Vadeli Mevduat,41316.0,41316.0,3479.81,3325.49,6,2023-10-11,Aktif
768,387,Vadeli Mevduat,90516.84,90516.84,6876.09,178.45,2,2022-06-13,Aktif
769,388,Vadeli Mevduat,97505.8,97505.8,7011.45,9438.35,27,2023-04-13,Aktif
770,388,Vadesiz Mevduat,87310.98,87310.98,7032.31,6841.43,33,2023-05-16,Aktif
771,389,Vadesiz Mevduat,116565.6,116565.6,14018.0,7047.28,9,2024-05-12,Kapalı
772,389,Vadesiz Mevduat,102445.43,102445.43,5692.19,2279.23,8,2021-07-28,Aktif
773,390,Vadeli Mevduat,37883.04,37883.04,5545.18,1793.3,35,2023-02-10,Aktif
774,391,Vadesiz Mevduat,32570.17,32570.17,4234.92,74.41,32,2023-03-15,Aktif
775,391,Vadesiz Mevduat,116824.95,116824.95,138.3,11021.65,29,2023-01-09,Aktif
776,392,Vadesiz Mevduat,72741.53,72741.53,7712.33,3004.64,12,2023-11-20,Aktif
777,392,Vadesiz Mevduat,27082.2,27082.2,3831.28,186.34,23,2021-02-14,Aktif
778,393,Vadeli Mevduat,49252.67,49252.67,2588.11,2081.5,40,2024-03-29,Aktif
779,393,Vadeli Mevduat,104230.49,104230.49,3198.16,10879.82,35,2023-05-19,Aktif
780,393,Vadesiz Mevduat,684.41,684.41,32.68,5.99,14,2023-08-11,Aktif
781,394,Vadeli Mevduat,91253.87,91253.87,10854.05,9954.57,17,2023-11-28,Aktif
782,394,Vadesiz Mevduat,93262.37,93262.37,3881.83,887.29,20,2023-10-06,Aktif
783,395,Vadesiz Mevduat,23181.17,23181.17,699.69,717.12,4,2022-08-03,Aktif
784,395,Vadeli Mevduat,7516.45,7516.45,615.97,686.38,21,2022-01-19,Aktif
785,395,Vadesiz Mevduat,9370.09,9370.09,1014.72,709.54,20,2022-12-03,Aktif
786,396,Vadesiz Mevduat,91338.33,91338.33,10161.25,8839.87,29,2021-12-26,Aktif
787,396,Vadesiz Mevduat,69354.43,69354.43,6803.57,4973.39,10,2021-11-11,Kapalı
788,397,Vadesiz Mevduat,59915.54,59915.54,6639.93,1163.2,23,2022-09-14,Aktif
789,397,Vadesiz Mevduat,68900.87,68900.87,9394.22,1331.34,33,2023-06-05,Aktif
790,397,Vadesiz Mevduat,19458.37,19458.37,2257.84,1520.26,31,2022-11-07,Aktif
791,398,Vadesiz Mevduat,81017.1,81017.1,1364.39,3036.44,17,2024-05-26,Aktif
792,398,Vadesiz Mevduat,39922.41,39922.41,5013.82,556.98,23,2024-08-06,Aktif
793,399,Vadesiz Mevduat,97109.8,97109.8,11638.36,3405.78,18,2021-07-08,Aktif
794,400,Vadesiz Mevduat,117441.64,117441.64,213.65,3605.48,35,2021-01-02,Aktif
795,401,Vadeli Mevduat,25299.18,25299.18,407.96,451.26,22,2023-09-08,Aktif
796,401,Vadesiz Mevduat,73610.76,73610.76,3000.08,404.79,6,2021-08-01,Aktif
797,402,Vadeli Mevduat,11467.11,11467.11,1317.79,174.95,5,2024-07-23,Aktif
798,402,Vadeli Mevduat,24054.72,24054.72,2006.9,340.28,17,2021-03-24,Aktif
799,403,Vadeli Mevduat,114763.92,114763.92,11751.87,2991.35,11,2022-03-19,Kapalı
800,403,Vadesiz Mevduat,35200.36,35200.36,1018.17,1807.3,40,2022-10-15,Aktif
801,403,Vadesiz Mevduat,88095.06,88095.06,5318.06,7466.1,36,2023-08-27,Aktif
802,404,Vadesiz Mevduat,46671.64,46671.64,5189.39,2694.49,29,2021-07-25,Aktif
803,404,Vadeli Mevduat,98429.7,98429.7,1292.9,3509.28,15,2023-11-19,Aktif
804,404,Vadesiz Mevduat,54330.24,54330.24,8033.57,6464.07,9,2022-07-08,Aktif
805,405,Vadesiz Mevduat,133969.6,133969.6,2573.13,15936.79,24,2023-04-21,Aktif
806,405,Vadeli Mevduat,41791.52,41791.52,639.9,3662.12,7,2021-04-05,Aktif
807,406,Vadesiz Mevduat,103112.53,103112.53,14508.02,10522.64,30,2021-11-26,Aktif
808,406,Döviz Hesabı,103820.94,103820.94,10977.4,7030.57,5,2021-07-10,Aktif
809,407,Vadesiz Mevduat,75827.39,75827.39,10907.35,8392.61,1,2023-03-28,Aktif
810,407,Döviz Hesabı,120610.01,120610.01,13415.47,7535.78,40,2022-12-16,Aktif
811,408,Vadesiz Mevduat,54892.38,54892.38,1705.48,537.28,7,2023-12-04,Aktif
812,408,Vadesiz Mevduat,66368.88,66368.88,1158.42,6273.64,15,2023-06-21,Aktif
813,408,Vadeli Mevduat,136456.38,136456.38,5738.51,15212.03,22,2022-08-20,Aktif
814,409,Vadesiz Mevduat,71424.93,71424.93,3710.2,7362.83,34,2022-02-10,Aktif
815,409,Vadeli Mevduat,72752.26,72752.26,2729.96,1725.72,30,2021-02-23,Kapalı
816,410,Vadeli Mevduat,10861.49,10861.49,1270.27,232.19,39,2021-02-18,Aktif
817,411,Vadeli Mevduat,148874.98,148874.98,15347.98,9156.68,2,2021-09-22,Aktif
818,411,Vadeli Mevduat,78297.74,78297.74,2451.37,299.68,27,2021-01-04,Kapalı
819,412,Vadesiz Mevduat,50094.89,50094.89,1029.03,3298.62,5,2021-11-20,Aktif
820,412,Vadesiz Mevduat,84044.89,84044.89,12389.73,4537.24,32,2024-09-11,Aktif
821,412,Vadesiz Mevduat,77323.3,77323.3,7652.02,5819.81,39,2024-09-13,Aktif
822,413,Vadeli Mevduat,51242.45,51242.45,3190.06,1285.11,33,2023-09-05,Aktif
823,413,Vadesiz Mevduat,95127.42,95127.42,3746.49,8773.78,39,2024-02-11,Aktif
824,413,Vadesiz Mevduat,123240.68,123240.68,12728.12,14330.22,29,2021-03-16,Aktif
825,414,Vadeli Mevduat,10639.77,10639.77,1417.1,173.46,15,2021-08-03,Aktif
826,415,Vadesiz Mevduat,529.5,529.5,2.22,61.91,18,2023-01-01,Aktif
827,415,Vadesiz Mevduat,60294.54,60294.54,7766.33,336.52,9,2024-02-06,Aktif
828,415,Vadeli Mevduat,46099.51,46099.51,6698.94,1039.4,13,2021-06-19,Aktif
829,416,Vadesiz Mevduat,70923.42,70923.42,5251.35,1575.95,11,2024-02-11,Aktif
830,416,Vadeli Mevduat,131031.36,131031.36,15869.06,1748.6,39,2023-02-25,Aktif
831,416,Vadesiz Mevduat,18311.33,18311.33,922.34,1621.31,1,2021-04-08,Aktif
832,417,Döviz Hesabı,139706.38,139706.38,11987.23,11706.54,9,2024-03-19,Kapalı
833,417,Vadesiz Mevduat,111771.11,111771.11,8628.36,111.34,8,2021-04-02,Aktif
834,417,Vadesiz Mevduat,7679.89,7679.89,858.7,443.17,27,2023-12-01,Aktif
835,418,Vadeli Mevduat,19708.57,19708.57,191.61,1771.53,9,2024-03-18,Aktif
836,418,Vadesiz Mevduat,29813.36,29813.36,1705.95,2343.49,4,2022-04-19,Aktif
837,418,Vadesiz Mevduat,122278.55,122278.55,515.28,14143.09,19,2021-08-05,Aktif
838,419,Döviz Hesabı,15043.15,15043.15,18.5,444.44,24,2021-12-11,Aktif
839,419,Vadeli Mevduat,104949.44,104949.44,3144.15,7264.0,28,2022-05-07,Aktif
840,419,Vadesiz Mevduat,45457.76,45457.76,1251.52,4227.35,33,2021-04-21,Aktif
841,420,Vadeli Mevduat,144061.27,144061.27,11979.16,16383.82,19,2021-06-17,Aktif
842,420,Vadeli Mevduat,42626.87,42626.87,1442.13,4684.68,7,2024-08-24,Kapalı
843,421,Vadesiz Mevduat,116361.08,116361.08,12979.98,12808.6,19,2022-08-10,Aktif
844,421,Döviz Hesabı,95179.01,95179.01,1458.65,1732.4,26,2021-04-03,Aktif
845,421,Vadeli Mevduat,78393.05,78393.05,3307.36,2637.6,22,2021-06-10,Aktif
846,422,Döviz Hesabı,43193.83,43193.83,1151.06,4614.66,3,2024-10-22,Aktif
847,422,Vadesiz Mevduat,111418.34,111418.34,11863.29,2922.69,31,2024-10-16,Aktif
848,423,Vadesiz Mevduat,97252.04,97252.04,11655.46,3550.17,23,2021-12-12,Aktif
849,423,Vadeli Mevduat,95967.44,95967.44,9236.31,10941.37,19,2023-12-19,Aktif
850,423,Vadesiz Mevduat,95630.67,95630.67,4132.74,982.39,2,2024-04-06,Aktif
851,424,Vadeli Mevduat,47610.77,47610.77,1593.73,5165.5,37,2022-10-09,Aktif
852,425,Vadesiz Mevduat,124163.62,124163.62,12754.16,8858.43,37,2021-02-17,Aktif
853,425,Vadesiz Mevduat,6400.04,6400.04,681.07,225.23,40,2021-08-09,Aktif
854,426,Vadeli Mevduat,119001.82,119001.82,16320.58,4146.84,27,2022-11-23,Aktif
855,427,Vadesiz Mevduat,48609.6,48609.6,6744.55,4007.5,35,2023-11-16,Kapalı
856,428,Vadesiz Mevduat,137117.27,137117.27,19453.87,692.33,35,2023-08-18,Aktif
857,429,Vadesiz Mevduat,142282.87,142282.87,9378.99,14772.01,29,2023-06-16,Aktif
858,429,Vadeli Mevduat,137673.33,137673.33,5439.89,5767.17,23,2021-10-20,Aktif
859,429,Vadeli Mevduat,28579.71,28579.71,2259.03,26.36,33,2024-05-30,Aktif
860,430,Vadesiz Mevduat,84991.06,84991.06,5413.66,7546.02,30,2022-01-11,Aktif
861,430,Vadesiz Mevduat,35639.73,35639.73,1696.77,3309.27,29,2021-12-31,Aktif
862,431,Vadesiz Mevduat,101944.29,101944.29,6208.36,8251.22,19,2021-05-03,Aktif
863,432,Vadeli Mevduat,108348.35,108348.35,5247.78,8181.22,9,2022-02-06,Aktif
864,432,Vadeli Mevduat,93849.04,93849.04,10874.45,1511.23,6,2022-05-08,Aktif
865,432,Döviz Hesabı,62236.84,62236.84,8464.46,128.62,37,2021-10-08,Aktif
866,433,Vadeli Mevduat,124666.89,124666.89,16708.66,2588.72,10,2022-04-02,Aktif
867,433,Vadeli Mevduat,23861.91,23861.91,1593.27,1542.05,4,2021-01-30,Aktif
868,434,Vadesiz Mevduat,128928.01,128928.01,4765.12,10237.67,30,2022-09-26,Aktif
869,434,Vadesiz Mevduat,2577.51,2577.51,154.56,124.28,2,2023-05-31,Aktif
870,435,Döviz Hesabı,5923.33,5923.33,6.83,536.24,14,2022-09-06,Aktif
871,435,Vadesiz Mevduat,126986.28,126986.28,7332.47,5894.66,39,2023-04-27,Aktif
872,435,Vadeli Mevduat,50177.01,50177.01,3447.76,1978.5,5,2021-06-19,Kapalı
873,436,Vadesiz Mevduat,47006.81,47006.81,3964.26,420.36,33,2022-02-20,Aktif
874,436,Vadesiz Mevduat,73717.2,73717.2,3886.52,1892.26,8,2021-11-09,Aktif
875,436,Vadesiz Mevduat,138299.83,138299.83,8449.84,15793.39,22,2021-04-25,Aktif
876,437,Vadeli Mevduat,122037.83,122037.83,3024.19,5662.44,10,2023-11-20,Aktif
877,437,Döviz Hesabı,68740.03,68740.03,1464.55,6246.25,10,2022-09-12,Aktif
878,437,Vadesiz Mevduat,23534.28,23534.28,2017.18,2662.45,11,2022-06-17,Aktif
879,438,Vadeli Mevduat,53779.49,53779.49,3762.73,6204.68,3,2021-09-21,Aktif
880,438,Vadesiz Mevduat,60378.77,60378.77,1666.71,2825.38,24,2023-12-05,Aktif
881,439,Vadesiz Mevduat,35776.77,35776.77,347.42,1264.72,35,2024-06-09,Aktif
882,439,Vadeli Mevduat,25012.69,25012.69,792.39,792.49,8,2021-08-08,Aktif
883,440,Vadeli Mevduat,137949.78,137949.78,5952.21,9426.57,22,2024-07-05,Aktif
884,440,Döviz Hesabı,75246.95,75246.95,9462.86,6382.67,6,2021-05-06,Aktif
885,441,Vadesiz Mevduat,124248.65,124248.65,4574.28,14478.56,8,2022-09-27,Aktif
886,442,Vadesiz Mevduat,117810.45,117810.45,17512.21,7599.88,22,2024-02-28,Aktif
887,442,Döviz Hesabı,80477.32,80477.32,9323.49,568.85,11,2021-01-18,Aktif
888,443,Vadeli Mevduat,95802.64,95802.64,4731.61,3605.18,9,2023-10-22,Aktif
889,444,Vadeli Mevduat,126250.84,126250.84,857.01,12129.86,31,2022-10-22,Aktif
890,445,Vadeli Mevduat,104330.36,104330.36,1131.15,3095.47,23,2023-05-30,Aktif
891,445,Vadeli Mevduat,90810.55,90810.55,12397.53,5616.22,17,2024-02-13,Kapalı
